"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14014675","JJ471945","10/30/2025 10:00:00 PM","034XX W GRENSHAW ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1133","011","24","29","06","1153609","1894845","2025","11/07/2025 03:42:17 PM","41.867293196","-87.711552595","POINT (-87.711552595 41.867293196)"
"14014820","JJ471869","10/30/2025 09:00:00 PM","072XX N OVERHILL AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1611","016","41","9","06","1124074","1947596","2025","11/07/2025 03:42:17 PM","42.012584459","-87.818819714","POINT (-87.818819714 42.012584459)"
"14014572","JJ471785","10/30/2025 08:00:00 PM","030XX N MANGO AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2514","025","30","19","06","1137514","1919644","2025","11/07/2025 03:42:17 PM","41.935649399","-87.770042721","POINT (-87.770042721 41.935649399)"
"14014623","JJ471902","10/30/2025 08:00:00 PM","028XX N SPAULDING AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1412","014","35","21","06","1153889","1918785","2025","11/07/2025 03:42:17 PM","41.932981227","-87.709885976","POINT (-87.709885976 41.932981227)"
"14014429","JJ471523","10/30/2025 07:32:00 PM","115XX S EGGLESTON AVE","031A","ROBBERY","ARMED - HANDGUN","STREET","false","false","0522","005","21","53","03","1175367","1828364","2025","11/07/2025 03:42:17 PM","41.684401768","-87.633661861","POINT (-87.633661861 41.684401768)"
"14014814","JJ471915","10/30/2025 07:25:00 PM","016XX W 47TH ST","0610","BURGLARY","FORCIBLE ENTRY","RESTAURANT","false","false","0924","009","15","61","05","1166045","1873546","2025","11/07/2025 03:42:17 PM","41.808590368","-87.666505268","POINT (-87.666505268 41.808590368)"
"14014640","JJ471824","10/30/2025 07:00:00 PM","055XX W QUINCY ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","RESIDENCE - YARD (FRONT / BACK)","false","false","1522","015","29","25","06","1139678","1898456","2025","11/07/2025 03:42:17 PM","41.877467764","-87.762607847","POINT (-87.762607847 41.877467764)"
"14014196","JJ471496","10/30/2025 07:00:00 PM","017XX W FULLERTON AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","DEPARTMENT STORE","false","false","1811","018","32","7","03","1164058","1915986","2025","11/07/2025 03:42:17 PM","41.925091608","-87.672595059","POINT (-87.672595059 41.925091608)"
"14014610","JJ471805","10/30/2025 07:00:00 PM","055XX W QUINCY ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","RESIDENCE - YARD (FRONT / BACK)","false","false","1522","015","29","25","06","1139678","1898456","2025","11/07/2025 03:42:17 PM","41.877467764","-87.762607847","POINT (-87.762607847 41.877467764)"
"14014763","JJ472051","10/30/2025 07:00:00 PM","003XX W 116TH ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0522","005","21","53","06","1176280","1828010","2025","11/07/2025 03:42:17 PM","41.683409941","-87.630330221","POINT (-87.630330221 41.683409941)"
"14014423","JJ471487","10/30/2025 06:30:00 PM","002XX W WACKER DR","0320","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","false","false","0122","001","42","32","03","1174517","1902121","2025","11/07/2025 03:42:17 PM","41.886817789","-87.634579186","POINT (-87.634579186 41.886817789)"
"14014518","JJ471680","10/30/2025 06:00:00 PM","001XX S SEELEY AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1223","012","27","28","06","1162762","1899404","2025","11/07/2025 03:42:17 PM","41.879616661","-87.677822731","POINT (-87.677822731 41.879616661)"
"14014658","JJ472010","10/30/2025 05:30:00 PM","020XX N AUSTIN AVE","0610","BURGLARY","FORCIBLE ENTRY","WAREHOUSE","false","false","2515","025","29","19","05","1136075","1912924","2025","11/07/2025 03:42:17 PM","41.917234781","-87.775491899","POINT (-87.775491899 41.917234781)"
"14014104","JJ471311","10/30/2025 04:38:00 PM","073XX S ASHLAND AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","VACANT LOT / LAND","false","false","0734","007","17","67","03","1166958","1855856","2025","11/07/2025 03:42:17 PM","41.76002733","-87.663661918","POINT (-87.663661918 41.76002733)"
"14014162","JJ471303","10/30/2025 04:30:00 PM","052XX W MADISON ST","031A","ROBBERY","ARMED - HANDGUN","DRUG STORE","false","false","1522","015","37","25","03","1141512","1899523","2025","11/07/2025 03:42:17 PM","41.880362084","-87.755847438","POINT (-87.755847438 41.880362084)"
"14014205","JJ471492","10/30/2025 04:15:00 PM","027XX W FLOURNOY ST","0320","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","false","false","1135","011","28","27","03","1158269","1896922","2025","11/07/2025 03:42:17 PM","41.872898796","-87.694388235","POINT (-87.694388235 41.872898796)"
"14014471","JJ471584","10/30/2025 04:15:00 PM","015XX E HYDE PARK BLVD","0320","ROBBERY","STRONG ARM - NO WEAPON","STREET","false","false","0234","002","5","41","03","1187693","1871499","2025","11/07/2025 03:42:17 PM","41.802484903","-87.587171256","POINT (-87.587171256 41.802484903)"
"14014112","JJ471165","10/30/2025 03:30:00 PM","059XX S HONORE ST","031A","ROBBERY","ARMED - HANDGUN","RESIDENCE","false","false","0714","007","15","67","03","1165038","1865195","2025","11/07/2025 03:42:17 PM","41.785695591","-87.670434929","POINT (-87.670434929 41.785695591)"
"14014316","JJ471352","10/30/2025 02:00:00 PM","050XX W FLETCHER ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","VEHICLE - COMMERCIAL","false","false","2521","025","31","19","06","1142249","1920474","2025","11/07/2025 03:42:17 PM","41.93784031","-87.752620381","POINT (-87.752620381 41.93784031)"
"14013985","JJ471052","10/30/2025 01:30:00 PM","022XX W CHARLESTON ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1432","014","32","22","06","1161078","1914080","2025","11/07/2025 03:42:17 PM","41.919923902","-87.683598008","POINT (-87.683598008 41.919923902)"
"14014087","JJ471205","10/30/2025 01:15:00 PM","075XX S RACINE AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","false","false","0612","006","17","71","03","1169626","1854835","2025","11/07/2025 03:42:17 PM","41.757168162","-87.653913229","POINT (-87.653913229 41.757168162)"
"14013946","JJ470838","10/30/2025 09:56:00 AM","010XX N LOCKWOOD AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false","1524","015","37","25","05","1140837","1906319","2025","11/07/2025 03:42:17 PM","41.899023579","-87.758158731","POINT (-87.758158731 41.899023579)"
"14013666","JJ470800","10/30/2025 09:00:00 AM","001XX W 87TH ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0622","006","21","44","06","1176740","1847273","2025","11/07/2025 03:42:17 PM","41.736259984","-87.628068782","POINT (-87.628068782 41.736259984)"
"14014714","JJ471992","10/30/2025 08:02:00 AM","042XX W BELMONT AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","1731","017","30","16","05","1147703","1920942","2025","11/07/2025 03:42:17 PM","41.939021412","-87.732563624","POINT (-87.732563624 41.939021412)"
"14013848","JJ470823","10/30/2025 06:17:00 AM","016XX W 79TH ST","0610","BURGLARY","FORCIBLE ENTRY","SMALL RETAIL STORE","false","false","0611","006","17","71","05","1166608","1852321","2025","11/07/2025 03:42:17 PM","41.75033427","-87.665045312","POINT (-87.665045312 41.75033427)"
"14013592","JJ470634","10/30/2025 06:00:00 AM","014XX W ARDMORE AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2013","020","48","77","06","1165725","1938960","2025","11/07/2025 03:42:17 PM","41.988097835","-87.665812193","POINT (-87.665812193 41.988097835)"
"14013644","JJ470530","10/30/2025 05:56:00 AM","121XX S THROOP ST","033A","ROBBERY","ATTEMPT ARMED - HANDGUN","VEHICLE NON-COMMERCIAL","false","false","0524","005","21","53","03","1169865","1824141","2025","11/07/2025 03:42:17 PM","41.672933997","-87.653924973","POINT (-87.653924973 41.672933997)"
"14013813","JJ470840","10/30/2025 03:36:00 AM","016XX E 70TH ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE - GARAGE","false","false","0332","003","5","43","05","1188705","1858905","2025","11/07/2025 03:42:17 PM","41.767901843","-87.583862475","POINT (-87.583862475 41.767901843)"
"14013515","JJ470472","10/30/2025 02:50:00 AM","120XX S HALSTED ST","0620","BURGLARY","UNLAWFUL ENTRY","BAR OR TAVERN","false","false","0523","005","21","53","05","1173161","1825111","2025","11/07/2025 03:42:17 PM","41.675523891","-87.641832941","POINT (-87.641832941 41.675523891)"
"14014166","JJ471346","10/30/2025 02:40:00 AM","008XX N FAIRFIELD AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE - GARAGE","false","false","1211","012","36","24","05","1157906","1905473","2025","11/07/2025 03:42:17 PM","41.896370945","-87.695487632","POINT (-87.695487632 41.896370945)"
"14013535","JJ470521","10/30/2025 02:20:00 AM","0000X W 79TH ST","0334","ROBBERY","ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT","CTA PLATFORM","false","false","0623","006","6","44","03","1177483","1852629","2025","11/07/2025 03:42:17 PM","41.750940757","-87.625185222","POINT (-87.625185222 41.750940757)"
"14013490","JJ470423","10/30/2025 12:32:00 AM","011XX E 81ST PL","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","false","0411","004","8","45","05","1185246","1851186","2025","11/07/2025 03:42:17 PM","41.746802165","-87.596783356","POINT (-87.596783356 41.746802165)"
"14013428","JJ470413","10/29/2025 11:42:00 PM","048XX N CENTRAL PARK AVE","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","1712","017","33","14","03","1151510","1932012","2025","11/06/2025 03:41:16 PM","41.969324225","-87.718279815","POINT (-87.718279815 41.969324225)"
"14013500","JJ470390","10/29/2025 11:26:00 PM","049XX N KEDZIE AVE","0610","BURGLARY","FORCIBLE ENTRY","RESTAURANT","false","false","1713","017","33","14","05","1154151","1932704","2025","11/06/2025 03:41:16 PM","41.971170677","-87.708550248","POINT (-87.708550248 41.971170677)"
"14013497","JJ470455","10/29/2025 11:03:00 PM","005XX W 47TH ST","0610","BURGLARY","FORCIBLE ENTRY","OTHER RAILROAD PROPERTY / TRAIN DEPOT","true","false","0935","009","20","61","05","1173449","1873746","2025","11/06/2025 03:41:16 PM","41.808978336","-87.639343193","POINT (-87.639343193 41.808978336)"
"14013399","JJ470381","10/29/2025 11:00:00 PM","031XX W TOUHY AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","2411","024","50","2","06","1154205","1947541","2025","11/06/2025 03:41:16 PM","42.011883046","-87.707953271","POINT (-87.707953271 42.011883046)"
"14013772","JJ470693","10/29/2025 10:00:00 PM","079XX S SANGAMON ST","0620","BURGLARY","UNLAWFUL ENTRY","SCHOOL - PRIVATE BUILDING","false","false","0621","006","17","71","05","1171346","1852434","2025","11/06/2025 03:41:16 PM","41.750542059","-87.64767983","POINT (-87.64767983 41.750542059)"
"14013599","JJ470648","10/29/2025 09:30:00 PM","021XX W NORWOOD ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2413","024","40","2","06","1161111","1940286","2025","11/06/2025 03:41:16 PM","41.991833854","-87.682745789","POINT (-87.682745789 41.991833854)"
"14013512","JJ470486","10/29/2025 07:30:00 PM","091XX S LAFLIN ST","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false","2221","022","21","73","05","1167940","1844124","2025","11/06/2025 03:41:16 PM","41.72781203","-87.660399127","POINT (-87.660399127 41.72781203)"
"14013214","JJ470240","10/29/2025 07:16:00 PM","008XX W 58TH ST","031A","ROBBERY","ARMED - HANDGUN","STREET","false","false","0712","007","16","68","03","1171514","1866386","2025","11/06/2025 03:41:16 PM","41.788824365","-87.646656011","POINT (-87.646656011 41.788824365)"
"14013184","JJ470249","10/29/2025 07:15:00 PM","039XX W 19TH ST","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","1014","010","24","29","03","1150264","1890343","2025","11/06/2025 03:41:16 PM","41.855004999","-87.723949984","POINT (-87.723949984 41.855004999)"
"14014155","JJ470245","10/29/2025 07:02:00 PM","004XX S KOSTNER AVE","0610","BURGLARY","FORCIBLE ENTRY","CONVENIENCE STORE","false","false","1131","011","28","26","05","1147128","1897577","2025","11/06/2025 03:41:16 PM","41.874916484","-87.735275635","POINT (-87.735275635 41.874916484)"
"14013335","JJ470339","10/29/2025 06:05:00 PM","015XX W CARROLL AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1215","012","27","28","06","1166235","1902273","2025","11/06/2025 03:41:16 PM","41.88741592","-87.664988379","POINT (-87.664988379 41.88741592)"
"14013584","JJ470532","10/29/2025 06:00:00 PM","019XX N NORMANDY AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2513","025","29","25","06","1131443","1912102","2025","11/06/2025 03:41:16 PM","41.915060526","-87.792529278","POINT (-87.792529278 41.915060526)"
